date,sensor_id,mean,min,max,std,count,temp_range
1970-01-12,ASTa1239_Temperature,23.98141471785366,23.08327865600586,24.62282943725586,0.30706579730162487,215999,1.53955078125
1970-01-12,ASTa1241_Temperature,24.470443498405725,23.929750442504883,24.839683532714844,0.22123161271416228,215999,0.9099330902099609
1970-01-12,ASTa1243_Temperature,24.94034480450802,24.80840110778809,25.077211380004883,0.036489272348785455,215999,0.2688102722167933
1970-01-12,ASTa1250_Temperature,23.09471713929411,21.9586124420166,23.944507598876953,0.5420863787928101,215999,1.9858951568603516
1970-01-12,ASTa1252_Temperature,92.73059424226729,19.97779655456543,99.6378402709961,9.276831807862804,109802,79.66004371643066
1970-01-12,ASTa1257_Temperature,-48.67375624844224,-51.64483642578125,-18.85048484802246,2.522426703726984,199716,32.79435157775879
1970-01-12,TP1152497_Temperature,25.797043427795874,23.512596130371097,27.957658767700195,1.0182992556467345,215999,4.445062637329098
1970-01-12,TP1152499_Temperature,25.72884117048372,25.21189308166504,26.53130340576172,0.22949220945204785,215999,1.3194103240966797
1970-01-12,TP1152501_Temperature,26.909383673313336,24.846904754638672,28.860498428344727,0.8742085170727242,215999,4.013593673706055
1970-01-12,TP1153137_Temperature,26.490163218129272,25.997379302978516,27.364429473876953,0.22564016196108685,215999,1.3670501708984375
1970-01-12,TP1153165_Temperature,63.489668165317944,61.66412353515625,66.2878189086914,0.7462616644507981,215999,4.623695373535156
1970-01-12,VAS1000_Temperature,23.13216019295168,23.022808074951172,23.240793228149418,0.031671271800220835,215999,0.21798515319824574
1970-01-12,VAS1001_Temperature,25.692380414813133,24.740501403808594,26.43277931213379,0.4708856549225625,215999,1.6922779083251953
1970-01-12,VAS1002_Temperature,23.195033765971317,21.81709098815918,24.266956329345703,0.5757129597739499,215999,2.4498653411865234
1970-01-12,VAST1239_Temperature,25.373889192270436,24.254344940185547,26.364665985107425,0.4876461117035645,215999,2.1103210449218786
