date,metric_name,mean,min,max,std,count,temp_range
2025-02-20,pressure_station,98.21333333333332,98.06,98.48,,24,0.4200000000000017
2025-02-20,relative_humidity,78.625,66.0,89.0,,24,23.0
2025-02-20,temperature,-10.225,-11.1,-9.0,,24,2.0999999999999996
2025-02-20,visibility,11504.166666666666,1600.0,16100.0,,24,14500.0
2025-02-20,wind_gust,30.75,28.0,35.0,,4,7.0
2025-02-20,wind_speed,13.416666666666666,4.0,28.0,,24,24.0
2025-02-20,windchill,-16.125,-19.0,-12.0,,24,7.0
2025-02-21,dew_point,-12.329166666666666,-14.0,-9.9,,24,4.1
2025-02-21,pressure_sea,102.99041666666666,102.54,103.2,,24,0.6599999999999966
2025-02-21,pressure_station,98.92791666666666,98.49,99.13,,24,0.6400000000000006
2025-02-21,relative_humidity,78.41666666666667,73.0,88.0,,24,15.0
2025-02-21,temperature,-9.204166666666666,-11.0,-7.1,,24,3.9000000000000004
2025-02-21,visibility,15562.5,6400.0,16100.0,,24,9700.0
2025-02-21,wind_gust,34.125,28.0,45.0,,8,17.0
2025-02-21,wind_speed,17.208333333333332,8.0,28.0,,24,20.0
2025-02-21,windchill,-16.083333333333332,-21.0,-13.0,,24,8.0
2025-02-22,dew_point,-10.15,-12.1,-8.3,,24,3.799999999999999
2025-02-22,pressure_sea,102.32125,101.88,102.96,,24,1.0799999999999983
2025-02-22,pressure_station,98.30291666666666,97.9,98.9,,24,1.0
2025-02-22,relative_humidity,77.0,66.0,92.0,,24,26.0
2025-02-22,temperature,-6.658333333333334,-10.9,-3.4,,24,7.5
2025-02-22,visibility,15900.0,11300.0,16100.0,,24,4800.0
2025-02-22,wind_gust,36.4,30.0,43.0,,10,13.0
2025-02-22,wind_speed,21.208333333333332,8.0,37.0,,24,29.0
2025-02-22,windchill,-13.583333333333334,-17.0,-10.0,,24,7.0
2025-02-23,dew_point,-7.104166666666667,-10.3,-4.1,,24,6.200000000000001
2025-02-23,pressure_sea,101.87666666666667,101.73,102.04,,24,0.3100000000000023
2025-02-23,pressure_station,97.91000000000001,97.78,98.07,,24,0.28999999999999204
2025-02-23,relative_humidity,73.79166666666667,66.0,89.0,,24,23.0
2025-02-23,temperature,-3.008333333333333,-5.0,-1.0,,24,4.0
2025-02-23,visibility,15029.166666666666,6400.0,16100.0,,24,9700.0
2025-02-23,wind_speed,13.166666666666666,8.0,21.0,,24,13.0
2025-02-23,windchill,-7.666666666666667,-10.0,-5.0,,24,5.0
2025-02-24,dew_point,-3.245833333333333,-6.4,0.2,,24,6.6000000000000005
2025-02-24,pressure_sea,100.74000000000001,100.16,101.68,,24,1.5200000000000102
2025-02-24,pressure_station,96.84416666666668,96.3,97.73,,24,1.4300000000000068
2025-02-24,relative_humidity,72.33333333333333,56.0,82.0,,24,26.0
2025-02-24,temperature,1.3,-3.6,4.8,,24,8.4
2025-02-24,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-02-24,wind_gust,48.0,30.0,67.0,,14,37.0
2025-02-24,wind_speed,25.25,8.0,52.0,,24,44.0
2025-02-24,windchill,-6.666666666666667,-8.0,-5.0,,9,3.0
2025-02-25,dew_point,0.225,-1.2,1.0,,24,2.2
2025-02-25,pressure_sea,100.66750000000002,100.45,101.13,,24,0.6799999999999926
2025-02-25,pressure_station,96.80083333333334,96.59,97.24,,24,0.6499999999999915
2025-02-25,relative_humidity,81.20833333333333,68.0,91.0,,24,23.0
2025-02-25,temperature,3.179166666666667,0.6,5.7,,24,5.1000000000000005
2025-02-25,visibility,15366.666666666666,9700.0,16100.0,,24,6400.0
2025-02-25,wind_speed,10.541666666666666,0.0,26.0,,24,26.0
2025-02-26,dew_point,-3.85,-7.6,-1.0,,24,6.6
2025-02-26,pressure_sea,101.35333333333334,101.12,101.54,,24,0.4200000000000017
2025-02-26,pressure_station,97.43625000000002,97.23,97.63,,24,0.3999999999999915
2025-02-26,relative_humidity,78.70833333333333,54.0,98.0,,24,44.0
2025-02-26,temperature,-0.2333333333333333,-7.1,3.7,,24,10.8
2025-02-26,visibility,12737.5,200.0,16100.0,,24,15900.0
2025-02-26,wind_speed,5.875,0.0,11.0,,24,11.0
2025-02-26,windchill,-5.555555555555555,-9.0,-2.0,,9,7.0
2025-02-27,dew_point,-0.875,-3.2,0.6,,24,3.8000000000000003
2025-02-27,pressure_sea,100.48625,100.27,101.04,,24,0.7700000000000102
2025-02-27,pressure_station,96.60916666666667,96.4,97.15,,24,0.75
2025-02-27,relative_humidity,88.66666666666667,74.0,97.0,,24,23.0
2025-02-27,temperature,0.8291666666666666,-0.5,2.4,,24,2.9
2025-02-27,visibility,10787.5,1200.0,16100.0,,24,14900.0
2025-02-27,wind_gust,34.285714285714285,30.0,39.0,,7,9.0
2025-02-27,wind_speed,15.583333333333334,5.0,26.0,,24,21.0
2025-02-27,windchill,-3.2,-4.0,-2.0,,5,2.0
2025-02-28,dew_point,-3.6541666666666663,-6.8,0.5,,24,7.3
2025-02-28,pressure_sea,100.2,99.25,100.92,,24,1.6700000000000017
2025-02-28,pressure_station,96.32708333333335,95.42,97.02,,24,1.5999999999999943
2025-02-28,relative_humidity,75.20833333333333,71.0,81.0,,24,10.0
2025-02-28,temperature,0.25416666666666665,-2.8,4.6,,24,7.3999999999999995
2025-02-28,visibility,15108.333333333334,3600.0,16100.0,,24,12500.0
2025-02-28,wind_gust,37.36363636363637,28.0,43.0,,11,15.0
2025-02-28,wind_speed,19.75,4.0,32.0,,24,28.0
2025-02-28,windchill,-5.928571428571429,-8.0,-4.0,,14,4.0
2025-03-01,dew_point,-12.379166666666665,-16.6,0.7,,24,17.3
2025-03-01,pressure_sea,100.75833333333333,99.26,101.96,,24,2.6999999999999886
2025-03-01,pressure_station,96.82333333333334,95.43,97.93,,24,2.5
2025-03-01,relative_humidity,70.70833333333333,56.0,85.0,,24,29.0
2025-03-01,temperature,-7.916666666666667,-11.3,3.1,,24,14.4
2025-03-01,visibility,14087.5,4800.0,16100.0,,24,11300.0
2025-03-01,wind_gust,48.68421052631579,37.0,63.0,,19,26.0
2025-03-01,wind_speed,33.25,15.0,46.0,,24,31.0
2025-03-01,windchill,-18.5,-21.0,-8.0,,22,13.0
2025-03-02,dew_point,-14.725,-18.8,-11.3,,24,7.5
2025-03-02,pressure_sea,102.29333333333334,102.03,102.44,,24,0.4099999999999966
2025-03-02,pressure_station,98.24416666666667,97.99,98.38,,24,0.39000000000000057
2025-03-02,relative_humidity,71.33333333333333,67.0,79.0,,24,12.0
2025-03-02,temperature,-10.445833333333333,-15.6,-6.8,,24,8.8
2025-03-02,visibility,15966.666666666666,12900.0,16100.0,,24,3200.0
2025-03-02,wind_gust,33.0,32.0,34.0,,2,2.0
2025-03-02,wind_speed,13.5,0.0,22.0,,24,22.0
2025-03-02,windchill,-16.434782608695652,-21.0,-11.0,,23,10.0
2025-03-03,dew_point,-9.191666666666665,-13.3,-5.8,,24,7.500000000000001
2025-03-03,pressure_sea,102.17791666666666,101.83,102.4,,24,0.5700000000000074
2025-03-03,pressure_station,98.1825,97.88,98.38,,24,0.5
2025-03-03,relative_humidity,67.83333333333333,45.0,84.0,,24,39.0
2025-03-03,temperature,-3.8375,-8.8,0.8,,24,9.600000000000001
2025-03-03,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-03,wind_gust,33.5,28.0,37.0,,4,9.0
2025-03-03,wind_speed,13.166666666666666,5.0,26.0,,24,21.0
2025-03-03,windchill,-8.904761904761905,-13.0,-4.0,,21,9.0
2025-03-04,dew_point,-3.6374999999999997,-7.1,-1.2,,24,5.8999999999999995
2025-03-04,pressure_sea,101.23708333333333,100.67,101.77,,24,1.0999999999999943
2025-03-04,pressure_station,97.33208333333334,96.8,97.83,,24,1.0300000000000011
2025-03-04,relative_humidity,66.75,59.0,82.0,,24,23.0
2025-03-04,temperature,1.9583333333333333,-0.7,4.9,,24,5.6000000000000005
2025-03-04,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-04,wind_gust,36.0,34.0,39.0,,3,5.0
2025-03-04,wind_speed,13.125,4.0,26.0,,24,22.0
2025-03-04,windchill,-3.8333333333333335,-4.0,-3.0,,6,1.0
2025-03-05,dew_point,2.9375,-2.7,6.7,,24,9.4
2025-03-05,pressure_sea,99.39875,98.72,100.62,,24,1.9000000000000057
2025-03-05,pressure_station,95.58291666666668,94.93,96.75,,24,1.8199999999999932
2025-03-05,relative_humidity,91.75,66.0,99.0,,24,33.0
2025-03-05,temperature,4.233333333333333,0.8,8.5,,24,7.7
2025-03-05,visibility,9862.5,200.0,16100.0,,24,15900.0
2025-03-05,wind_gust,35.857142857142854,32.0,45.0,,7,13.0
2025-03-05,wind_speed,16.375,0.0,32.0,,24,32.0
2025-03-06,dew_point,-5.520833333333333,-9.0,0.1,,24,9.1
2025-03-06,pressure_sea,99.75375000000001,98.74,100.75,,24,2.010000000000005
2025-03-06,pressure_station,95.89499999999998,94.96,96.82,,24,1.8599999999999994
2025-03-06,relative_humidity,80.04166666666667,69.0,95.0,,24,26.0
2025-03-06,temperature,-2.470833333333333,-5.2,1.3,,24,6.5
2025-03-06,visibility,14270.833333333334,2800.0,16100.0,,24,13300.0
2025-03-06,wind_gust,51.5,32.0,71.0,,24,39.0
2025-03-06,wind_speed,34.625,21.0,46.0,,24,25.0
2025-03-06,windchill,-11.473684210526315,-15.0,-7.0,,19,8.0
2025-03-07,dew_point,-7.770833333333333,-10.7,-2.7,,24,7.999999999999999
2025-03-07,pressure_sea,100.80541666666666,100.53,101.04,,24,0.5100000000000051
2025-03-07,pressure_station,96.88625,96.63,97.11,,24,0.480000000000004
2025-03-07,relative_humidity,66.04166666666667,45.0,87.0,,24,42.0
2025-03-07,temperature,-2.0416666666666665,-4.3,-0.1,,24,4.2
2025-03-07,visibility,16100.0,16100.0,16100.0,,24,0.0
2025-03-07,wind_gust,40.44444444444444,30.0,54.0,,18,24.0
2025-03-07,wind_speed,25.666666666666668,13.0,39.0,,24,26.0
2025-03-07,windchill,-8.541666666666666,-10.0,-6.0,,24,4.0
2025-03-08,dew_point,-8.883333333333333,-11.7,-2.7,,24,9.0
2025-03-08,pressure_sea,101.17041666666667,100.48,101.51,,24,1.0300000000000011
2025-03-08,pressure_station,97.22833333333334,96.59,97.53,,24,0.9399999999999977
2025-03-08,relative_humidity,72.08333333333333,62.0,85.0,,24,23.0
2025-03-08,temperature,-4.5249999999999995,-7.8,-0.5,,24,7.3
2025-03-08,visibility,15500.0,8100.0,16100.0,,24,8000.0
2025-03-08,wind_gust,41.75,30.0,48.0,,12,18.0
2025-03-08,wind_speed,24.375,8.0,35.0,,24,27.0
